id,text,created_at,lang,retweet_count,reply_count,like_count,source,query,category,date,hour,day_of_week,cleaned_text,readable_text,entities,text_length,word_count,processed_date,vader_negative,vader_neutral,vader_positive,vader_compound,vader_sentiment,textblob_polarity,textblob_subjectivity,textblob_sentiment
2e+18,Samsung's One UI is so clunky compared to stock Android. Too many duplicate apps.,2025-03-24 15:54:36.956172+00:00,en,29,9,38,Twitter for Android,Galaxy S,galaxy,2025-03-24,15,Monday,samsungs one ui clunky compared stock android many duplicate apps,samsungs one ui is so clunky compared to stock android too many duplicate apps,"{'ORG': ['Samsung', 'UI', 'Android'], 'CARDINAL': ['One']}",81,10,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.5,0.5,positive
2e+18,The Galaxy Z Fold is revolutionary. Having a tablet in my pocket changes everything.,2025-03-24 13:54:36.956172+00:00,en,46,28,70,Twitter for Android,Galaxy S,galaxy,2025-03-24,13,Monday,z fold revolutionary tablet pocket change everything,the galaxy z fold is revolutionary having a tablet in my pocket changes everything,{'ORG': ['The Galaxy Z Fold']},84,7,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.0,0.0,neutral
2e+18,Battery life on my Galaxy S22 is terrible. Barely makes it through the day.,2025-03-24 11:54:36.956172+00:00,en,44,13,114,Twitter for Android,Samsung Galaxy,galaxy,2025-03-24,11,Monday,battery life terrible barely make day,battery life on my galaxy s is terrible barely makes it through the day,"{'PERSON': ['Galaxy S22'], 'DATE': ['the day']}",75,6,2025-03-28,0.193,0.807,0.0,-0.4767,negative,-0.475,0.55,negative
2e+18,Samsung's display technology is the best in the industry. This AMOLED screen is stunning.,2025-03-24 09:54:36.956172+00:00,en,27,17,66,Twitter for iPhone,Galaxy S,galaxy,2025-03-24,9,Monday,samsungs display technology best industry amoled screen stunning,samsungs display technology is the best in the industry this amoled screen is stunning,{'ORG': ['Samsung']},89,8,2025-03-28,0.0,0.638,0.362,0.7783,positive,0.75,0.65,positive
2e+18,Galaxy phones have too much bloatware. Why do I need two app stores?,2025-03-24 07:54:36.956172+00:00,en,14,15,16,Twitter for iPhone,Samsung Galaxy,galaxy,2025-03-24,7,Monday,phone much bloatware need two app store,galaxy phones have too much bloatware why do i need two app stores,{'CARDINAL': ['two']},68,7,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.2,0.2,positive
2e+18,The customization options on my Galaxy are endless. Love being able to make it truly mine.,2025-03-24 05:54:36.956172+00:00,en,47,16,7,Twitter for Web,#SamsungGalaxy,galaxy,2025-03-24,5,Monday,customization option endless love able make truly mine,the customization options on my galaxy are endless love being able to make it truly mine,{},90,8,2025-03-28,0.0,0.664,0.336,0.7964,positive,0.2916666666666667,0.6583333333333333,positive
2e+18,Samsung's build quality has improved so much. This Galaxy feels solid and premium.,2025-03-24 03:54:36.956172+00:00,en,35,25,199,Twitter for Web,Galaxy S,galaxy,2025-03-24,3,Monday,samsungs build quality improved much feel solid premium,samsungs build quality has improved so much this galaxy feels solid and premium,{'ORG': ['Samsung']},82,8,2025-03-28,0.0,0.701,0.299,0.5719,positive,0.1,0.15000000000000002,neutral
2e+18,Galaxy S Pen functionality is a game changer for taking notes and drawing.,2025-03-24 01:54:36.956172+00:00,en,47,23,79,Twitter for Web,Galaxy S,galaxy,2025-03-24,1,Monday,pen functionality game changer taking note drawing,galaxy s pen functionality is a game changer for taking notes and drawing,{},74,7,2025-03-28,0.0,1.0,0.0,0.0,neutral,-0.4,0.4,negative
2e+18,Samsung needs to improve their update policy. My Galaxy is still waiting for Android 14.,2025-03-23 23:54:36.956172+00:00,en,45,19,147,Twitter for iPhone,Samsung Galaxy,galaxy,2025-03-23,23,Sunday,need improve update policy still waiting android,samsung needs to improve their update policy my galaxy is still waiting for android,"{'ORG': ['Samsung', 'Android'], 'CARDINAL': ['14']}",88,7,2025-03-28,0.0,0.828,0.172,0.4404,positive,0.0,0.0,neutral
2e+18,The wide-angle lens on the Galaxy camera is perfect for landscape photography.,2025-03-23 21:54:36.956172+00:00,en,49,16,175,Twitter for Web,Galaxy S,galaxy,2025-03-23,21,Sunday,wideangle lens camera perfect landscape photography,the wideangle lens on the galaxy camera is perfect for landscape photography,{},78,6,2025-03-28,0.0,0.748,0.252,0.5719,positive,1.0,1.0,positive
2e+18,Samsung DeX is underrated. Turning my Galaxy into a desktop is super useful.,2025-03-23 19:54:36.956172+00:00,en,10,28,58,Twitter for Android,Galaxy Note,galaxy,2025-03-23,19,Sunday,dex underrated turning desktop super useful,samsung dex is underrated turning my galaxy into a desktop is super useful,{'PERSON': ['Samsung DeX']},76,6,2025-03-28,0.0,0.618,0.382,0.7783,positive,0.31666666666666665,0.3333333333333333,positive
2e+18,My Galaxy overheats during gaming sessions. Performance throttling is annoying.,2025-03-23 17:54:36.956172+00:00,en,37,3,149,Twitter for iPhone,Samsung Galaxy,galaxy,2025-03-23,17,Sunday,overheats gaming session performance throttling annoying,my galaxy overheats during gaming sessions performance throttling is annoying,{},79,6,2025-03-28,0.231,0.769,0.0,-0.4019,negative,-0.8,0.9,negative
2e+18,The Galaxy's adaptive refresh rate makes scrolling so smooth while saving battery.,2025-03-23 15:54:36.956172+00:00,en,26,3,12,Twitter for Android,Galaxy Note,galaxy,2025-03-23,15,Sunday,galaxy adaptive refresh rate make scrolling smooth saving battery,the galaxys adaptive refresh rate makes scrolling so smooth while saving battery,{},82,9,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.4,0.5,positive
2e+18,Samsung's fast charging is incredible. 0 to 50% in just 15 minutes!,2025-03-23 13:54:36.956172+00:00,en,13,25,84,Twitter for Web,Samsung Galaxy,galaxy,2025-03-23,13,Sunday,samsungs fast charging incredible minute,samsungs fast charging is incredible to in just minutes,"{'ORG': ['Samsung'], 'PERCENT': ['0 to 50%'], 'TIME': ['just 15 minutes']}",67,5,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.6,0.75,positive
1.904306367688766e+18,"@LingerieAndRope Well this is what confused me!! I just got used to the 1080 and some 4k but now I’m like “wait there’s 5k” I thought that was just TVs haha. 
Thank you!! I appreciate that 🫶 just think it’s time I graduate from my iPhone 😅",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,well confused got used k i’m like “wait there’s k” thought tv haha thank appreciate 🫶 think it’s time graduate 😅,well this is what confused me i just got used to the and some k but now i’m like “wait there’s k” i thought that was just tvs haha thank you i appreciate that 🫶 just think it’s time i graduate from my iphone 😅,"{'CARDINAL': ['1080', 'some 4k', '5k']}",239,21,2025-03-28,0.026,0.665,0.31,0.9605,positive,-0.15625,0.5,negative
1.9043063204144911e+18,Check out my latest article: Why Hasn’t an iPhone-Filmed Movie Won a Major Cinematography Award? https://t.co/Jq2EdhHPma via @LinkedIn,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,check latest article hasn’t iphonefilmed movie major cinematography award,check out my latest article why hasn’t an iphonefilmed movie won a major cinematography award via,"{'ORG': ['iPhone-Filmed Movie Won'], 'GPE': ['@LinkedIn']}",134,9,2025-03-28,0.0,0.681,0.319,0.8166,positive,0.28125,0.7,positive
1.9043063019134856e+18,@zollotech Make #Iphone 13 pro max great again,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,make pro max great,make iphone pro max great again,"{'ORG': ['@zollotech Make #Iphone 13'], 'PERSON': ['max']}",46,4,2025-03-28,0.0,0.631,0.369,0.6249,positive,0.8,0.75,positive
1.9043062702591025e+18,hi guys whatsthe best iphone out Rn i want a new one but idk what One,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,hi guy whatsthe best rn want new one idk one,hi guys whatsthe best iphone out rn i want a new one but idk what one,{'CARDINAL': ['One']},69,10,2025-03-28,0.087,0.708,0.204,0.2846,positive,0.5681818181818181,0.37727272727272726,positive
1.9043061914984328e+18,"Turned on Grayscale for @apple Carplay in the settings app of Carplay and now Iphone Mirroring applies color filters. Why is Carplay so bad?????????
https://t.co/Az6AF8TiGe",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,turned grayscale carplay setting app carplay mirroring applies color filter carplay bad,turned on grayscale for carplay in the settings app of carplay and now iphone mirroring applies color filters why is carplay so bad,"{'ORG': ['Carplay', 'Iphone Mirroring'], 'GPE': ['https://t.co/Az6AF8TiGe']}",172,12,2025-03-28,0.185,0.815,0.0,-0.7544,negative,-0.6999999999999998,0.6666666666666666,negative
1.9043061604482327e+18,Making movies on an iPhone 6 🎥 🍿 https://t.co/FZZwsoSR6V,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,making movie 🎥 🍿,making movies on an iphone 🎥 🍿,{},56,4,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.0,0.0,neutral
1.904306130131825e+18,"Morning Vibes 🌄 

Iphone Wallpapers 4K HD 📲 

#Wallpapers |#iPhoneWallpaper I #4kwallpaper https://t.co/sj74A3gh2J",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,morning vibe 🌄 wallpaper k hd 📲 wallpaper iphonewallpaper kwallpaper,morning vibes 🌄 iphone wallpapers k hd 📲 wallpapers iphonewallpaper i kwallpaper,"{'CARDINAL': ['4'], 'MONEY': ['4kwallpaper']}",114,10,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.0,0.0,neutral
1.904306023323812e+18,@Texas_jeep__guy IPhone sucks donkey d,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,suck donkey,iphone sucks donkey d,{},38,2,2025-03-28,0.385,0.615,0.0,-0.3612,negative,-0.3,0.3,negative
1.9043059677745528e+18,"Dreamer &amp; The Awakening 

Iphone Wallpapers 4K HD 📲 

#Wallpapers | #iPhoneWallpaper I #4kwallpaper 👇 https://t.co/rXjtlfHnm6",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,dreamer awakening wallpaper k hd 📲 wallpaper iphonewallpaper kwallpaper 👇,dreamer amp the awakening iphone wallpapers k hd 📲 wallpapers iphonewallpaper i kwallpaper 👇,"{'ORG': ['Dreamer &amp', 'The Awakening \n\nIphone Wallpapers 4'], 'MONEY': ['4kwallpaper']}",129,10,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.0,0.0,neutral
1.904305925026169e+18,Is the iPhone auto correct drunk? It use to be decent but has been so off the past couple weeks,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,auto correct drunk use decent past couple week,is the iphone auto correct drunk it use to be decent but has been so off the past couple weeks,{'DATE': ['the past couple weeks']},95,8,2025-03-28,0.082,0.918,0.0,-0.1779,negative,-0.19444444444444445,0.6388888888888888,negative
1.9043058534839053e+18,"GOVERNMENT ISSUES STATEMENT: 🦠 Dead marine life and surfer health concerns prompt official response, as Government confirms a harmful toxic algae off southern coastline. &gt;&gt; https://t.co/iaLloAehwh

🌟 Read daily news on our free iPhone app: https://t.co/WJZDuenEUw

🌟 Read daily https://t.co/LMMOG8dJsE",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,Apple iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,government issue statement 🦠 dead marine life surfer health concern prompt official response government confirms harmful toxic algae southern coastline gtgt 🌟 read daily news free app 🌟 read daily,government issues statement 🦠 dead marine life and surfer health concerns prompt official response as government confirms a harmful toxic algae off southern coastline gtgt 🌟 read daily news on our free iphone app 🌟 read daily,{'DATE': ['daily']},307,30,2025-03-28,0.09,0.84,0.069,-0.25,negative,0.04,0.24000000000000005,neutral
1.904305437861679e+18,"@Texas_jeep__guy I can jailbreak mine and get a whole new operating system that doesn't have bloatwear on it, like apps you can not uninstall on you iPhone. Plus, apple slows down your phones, so you upgrade and spend more money.",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,Apple iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,jailbreak mine get whole new operating system doesnt bloatwear like apps uninstall plus slows phone upgrade spend money,i can jailbreak mine and get a whole new operating system that doesnt have bloatwear on it like apps you can not uninstall on you iphone plus apple slows down your phones so you upgrade and spend more money,{},229,18,2025-03-28,0.0,0.94,0.06,0.3612,positive,0.1702020202020202,0.41085858585858587,positive
1.904305362842346e+18,Hey @Apple your iPhone sales are down big time because of no more physical sim tray on your US iPhone models. It turns out millions of people travel abroad and use the local sim cards. Big win for Samsung.,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,Apple iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,hey sale big time physical sim tray u model turn million people travel abroad use local sim card big win,hey your iphone sales are down big time because of no more physical sim tray on your us iphone models it turns out millions of people travel abroad and use the local sim cards big win for samsung,"{'GPE': ['US'], 'CARDINAL': ['millions'], 'ORG': ['Samsung']}",205,20,2025-03-28,0.051,0.86,0.088,0.3818,positive,0.05634920634920636,0.21882086167800457,neutral
1.9043053386414945e+18,Apple iPhone 17 Pro MAX Ultra - Launch Date + Price in the USA and other... https://t.co/a9emPX3JuI via @YouTube,2025-03-28 04:36:59.594846+00:00,en,1,0,1,,Apple iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,pro max ultra launch date price usa,apple iphone pro max ultra launch date price in the usa and other via,"{'ORG': ['Apple'], 'CARDINAL': ['17'], 'GPE': ['USA']}",112,7,2025-03-28,0.0,1.0,0.0,0.0,neutral,-0.125,0.375,negative
1.90430528299534e+18,"Ellen Joe’s movements are next-level smooth, like a shark swimming through battle! 🦈💥 Testing her in ZZZ—she’s a beast!
https://t.co/G6QJcs5T91
#zenlesszonezero #ZenlessZoneZeroFanart #EllenJoe #HoYoverse #Apple #iphone #gaming #MobileGaming #shark #sharkstyle #sharkbae",2025-03-28 04:36:59.594846+00:00,en,0,0,1,,Apple iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,ellen joe’s movement nextlevel smooth like shark swimming battle 🦈💥 testing zzz—she’s beast zenlesszonezero zenlesszonezerofanart ellenjoe hoyoverse gaming mobilegaming shark sharkstyle sharkbae,ellen joe’s movements are nextlevel smooth like a shark swimming through battle 🦈💥 testing her in zzz—she’s a beast zenlesszonezero zenlesszonezerofanart ellenjoe hoyoverse apple iphone gaming mobilegaming shark sharkstyle sharkbae,"{'PERSON': ['Ellen Joe’s', 'HoYoverse'], 'ORG': ['ZZZ'], 'MONEY': ['#MobileGaming #'], 'CARDINAL': ['#', '#']}",270,22,2025-03-28,0.153,0.78,0.067,-0.4912,negative,0.625,0.5,positive
1.904304082090685e+18,"Does it?
https://t.co/Zhbd9z8c23
↓ https://t.co/ImTRVhAiVe",2025-03-28 04:36:59.594846+00:00,en,0,0,1,,Apple iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,↓,does it ↓,{},58,1,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.0,0.0,neutral
1.904301473514574e+18,"Hi @Apple - What gives with the latest IOS (18) update and iphone 13 cameras?  You're telling me that I have added a non-factory part, which is not true. #Help",2025-03-28 04:36:59.594846+00:00,en,0,1,0,,Apple iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,hi give latest io update camera youre telling added nonfactory part true help,hi what gives with the latest ios update and iphone cameras youre telling me that i have added a nonfactory part which is not true help,"{'CARDINAL': ['18', '13']}",159,13,2025-03-28,0.141,0.859,0.0,-0.5559,negative,0.1625,0.775,positive
1.9043006969685e+18,@abok_fasa @TimKalyegira Can you tell me how many times an iphone has been breached without apple being involved !,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,Apple iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,tell many time breached without involved,can you tell me how many times an iphone has been breached without apple being involved,{'ORG': ['@TimKalyegira']},114,6,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.625,0.5,positive
1.90430059156591e+18,"If you expect me to buy the next $2000 iPhone, the purchase should come with a tokenized portion of Apple stock, like one percent of the purchase price, which is better than nothing. 

$2000 → 1% = $20 ✓ (tokenized stock)

@Apple",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,Apple iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,expect buy next purchase come tokenized portion stock like one percent purchase price better nothing → ✓ tokenized stock,if you expect me to buy the next iphone the purchase should come with a tokenized portion of apple stock like one percent of the purchase price which is better than nothing → ✓ tokenized stock,"{'ORG': ['Apple'], 'MONEY': ['2000', '20'], 'PERCENT': ['1%']}",229,19,2025-03-28,0.0,0.881,0.119,0.6597,positive,0.25,0.25,positive
1.90431576295884e+18,I need a new phone dis iPhone 6s pmo,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,need new dis pmo,i need a new phone dis iphone s pmo,{'CARDINAL': ['6s']},36,4,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.13636363636363635,0.45454545454545453,positive
1.9043157596666263e+18,"2023:05:27 14:12:06
iPhone 11 Pro back triple camera 4.25mm f/1.8
Focal Length:26mm (35mm eq.)
Aperture: f/1.8
Exposure: 1/990s
Ev: 11.6
ISO equiv: 32
#Green https://t.co/PgrivB2EC4",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,pro back triple camera mm f focal lengthmm mm eq aperture f exposure ev iso equiv green,iphone pro back triple camera mm f focal lengthmm mm eq aperture f exposure s ev iso equiv green,"{'CARDINAL': ['2023:05:27', '11', '35', '11.6', '32'], 'QUANTITY': ['4.25mm'], 'PERSON': ['Ev'], 'ORG': ['ISO']}",181,17,2025-03-28,0.0,1.0,0.0,0.0,neutral,-0.1,0.15,neutral
1.904315731401196e+18,"@DarkMinds001 It's heart-wrenching to hear about your pain. Tears signify deep emotional turmoil, not weakness. Expressing feelings is a step toward healing. #ThriveAI is here to support you. #HealingJourney

🚀 Join Thrive AI today and reclaim your mind!
📲 Download for FREE:
   • iPhone:",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,heartwrenching hear pain tear signify deep emotional turmoil weakness expressing feeling step toward healing thriveai support healingjourney 🚀 join thrive ai today reclaim mind 📲 download free •,its heartwrenching to hear about your pain tears signify deep emotional turmoil not weakness expressing feelings is a step toward healing thriveai is here to support you healingjourney 🚀 join thrive ai today and reclaim your mind 📲 download for free • iphone,"{'PERSON': ['ThriveAI', 'HealingJourney', 'Download'], 'DATE': ['today']}",288,28,2025-03-28,0.129,0.652,0.22,0.6659,positive,0.13333333333333333,0.6166666666666667,positive
1.9043157311744084e+18,"Wait until they turn the mob

Onto everybody with an iPhone 
or MacBook 
or Gucci bag 

Etc. 

—-

The less intelligent 
They can be Weaponized 

Always have been 
Always will be https://t.co/nYnhlZKOiu",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,wait turn mob onto everybody macbook gucci bag etc — less intelligent weaponized always always,wait until they turn the mob onto everybody with an iphone or macbook or gucci bag etc — the less intelligent they can be weaponized always have been always will be,"{'ORG': ['MacBook', 'Weaponized \n\nAlways'], 'PERSON': ['Gucci']}",202,15,2025-03-28,0.0,0.92,0.08,0.4033,positive,0.3166666666666667,0.48333333333333334,positive
1.904315643622486e+18,"#MOONwin🔥

Pump YOUR way to MILLIONS!🌐

🎁Welcome: https://t.co/4htXNd4ONf

1UK5qg36 @ua3b1cZA1iKrUFu @BujangT59231130 @Jay31192 @BitVenturer2 @mariavictorix @zishee786 @Capital671 @emotionartist @xmastoys09 @TM_IPhone",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,moonwin🔥 pump way millions🌐 🎁welcome ukqg,moonwin🔥 pump your way to millions🌐 🎁welcome ukqg,"{'ORG': ['MILLIONS', '@zishee786'], 'PERSON': ['@xmastoys09 @TM_IPhone']}",217,6,2025-03-28,0.105,0.895,0.0,-0.4003,negative,0.0,0.0,neutral
