id,text,created_at,lang,retweet_count,reply_count,like_count,source,query,category,date,hour,day_of_week,cleaned_text,readable_text,entities,text_length,word_count,processed_date,vader_negative,vader_neutral,vader_positive,vader_compound,vader_sentiment,textblob_polarity,textblob_subjectivity,textblob_sentiment,dominant_topic,topic_probability
1e+18,The iPhone ecosystem integration with my MacBook and iPad is seamless. Love it!,2025-03-23 21:54:36.956172+00:00,en,18,10,128,Twitter for Web,iPhone,iphone,2025-03-23,21,Sunday,ecosystem integration macbook ipad seamless love,the iphone ecosystem integration with my macbook and ipad is seamless love it,"{'ORG': ['MacBook', 'iPad']}",79,6,2025-03-28,0.0,0.728,0.272,0.6696,positive,0.3625,0.35,positive,0,0.9242584705352783
1e+18,Why is iPhone battery degradation still such an issue? Mine's at 85% after just 8 months.,2025-03-23 19:54:36.956172+00:00,en,24,5,39,Twitter for iPhone,#iPhone,iphone,2025-03-23,19,Sunday,battery degradation still issue mine month,why is iphone battery degradation still such an issue mines at after just months,"{'ORG': ['Mine'], 'PERCENT': ['85%'], 'DATE': ['just 8 months']}",89,6,2025-03-28,0.185,0.815,0.0,-0.5267,negative,0.0,0.5,neutral,1,0.9178295731544495
1e+18,iPhone's haptic feedback is so satisfying. Android phones just don't compare.,2025-03-23 17:54:36.956172+00:00,en,31,1,188,Twitter for iPhone,iPhone,iphone,2025-03-23,17,Sunday,iphones haptic feedback satisfying android phone dont compare,iphones haptic feedback is so satisfying android phones just dont compare,"{'ORG': ['iPhone', 'Android']}",77,8,2025-03-28,0.0,0.721,0.279,0.5949,positive,0.5,1.0,positive,1,0.9429171085357666
1e+18,The new iPhone camera bump is huge. Makes the phone wobble on flat surfaces.,2025-03-23 15:54:36.956172+00:00,en,43,28,52,Twitter for Android,iPhone,iphone,2025-03-23,15,Sunday,new camera bump huge make wobble flat surface,the new iphone camera bump is huge makes the phone wobble on flat surfaces,{},76,8,2025-03-28,0.0,0.85,0.15,0.3182,positive,0.1704545454545454,0.4931818181818181,positive,1,0.9332857728004456
1e+18,iPhone speakers are surprisingly good for such a slim device. Great stereo sound.,2025-03-23 13:54:36.956172+00:00,en,47,13,64,Twitter for iPhone,#iPhone,iphone,2025-03-23,13,Sunday,speaker surprisingly good slim device great stereo sound,iphone speakers are surprisingly good for such a slim device great stereo sound,{},81,8,2025-03-28,0.0,0.521,0.479,0.8481,positive,0.475,0.5625,positive,1,0.9423508644104004
1.904306367688766e+18,"@LingerieAndRope Well this is what confused me!! I just got used to the 1080 and some 4k but now I’m like “wait there’s 5k” I thought that was just TVs haha. 
Thank you!! I appreciate that 🫶 just think it’s time I graduate from my iPhone 😅",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,well confused got used k i’m like “wait there’s k” thought tv haha thank appreciate 🫶 think it’s time graduate 😅,well this is what confused me i just got used to the and some k but now i’m like “wait there’s k” i thought that was just tvs haha thank you i appreciate that 🫶 just think it’s time i graduate from my iphone 😅,"{'CARDINAL': ['1080', 'some 4k', '5k']}",239,21,2025-03-28,0.026,0.665,0.31,0.9605,positive,-0.15625,0.5,negative,0,0.9340593814849854
1.9043063204144911e+18,Check out my latest article: Why Hasn’t an iPhone-Filmed Movie Won a Major Cinematography Award? https://t.co/Jq2EdhHPma via @LinkedIn,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,check latest article hasn’t iphonefilmed movie major cinematography award,check out my latest article why hasn’t an iphonefilmed movie won a major cinematography award via,"{'ORG': ['iPhone-Filmed Movie Won'], 'GPE': ['@LinkedIn']}",134,9,2025-03-28,0.0,0.681,0.319,0.8166,positive,0.28125,0.7,positive,0,0.8726803064346313
1.9043063019134856e+18,@zollotech Make #Iphone 13 pro max great again,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,make pro max great,make iphone pro max great again,"{'ORG': ['@zollotech Make #Iphone 13'], 'PERSON': ['max']}",46,4,2025-03-28,0.0,0.631,0.369,0.6249,positive,0.8,0.75,positive,1,0.619705319404602
1.9043062702591025e+18,hi guys whatsthe best iphone out Rn i want a new one but idk what One,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,hi guy whatsthe best rn want new one idk one,hi guys whatsthe best iphone out rn i want a new one but idk what one,{'CARDINAL': ['One']},69,10,2025-03-28,0.087,0.708,0.204,0.2846,positive,0.5681818181818181,0.3772727272727272,positive,0,0.9252919554710388
1.9043061914984328e+18,"Turned on Grayscale for @apple Carplay in the settings app of Carplay and now Iphone Mirroring applies color filters. Why is Carplay so bad?????????
https://t.co/Az6AF8TiGe",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,turned grayscale carplay setting app carplay mirroring applies color filter carplay bad,turned on grayscale for carplay in the settings app of carplay and now iphone mirroring applies color filters why is carplay so bad,"{'ORG': ['Carplay', 'Iphone Mirroring'], 'GPE': ['https://t.co/Az6AF8TiGe']}",172,12,2025-03-28,0.185,0.815,0.0,-0.7544,negative,-0.6999999999999998,0.6666666666666666,negative,0,0.8321137428283691
1.9043061604482327e+18,Making movies on an iPhone 6 🎥 🍿 https://t.co/FZZwsoSR6V,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,making movie 🎥 🍿,making movies on an iphone 🎥 🍿,{},56,4,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.0,0.0,neutral,0,0.7447999715805054
1.904306130131825e+18,"Morning Vibes 🌄 

Iphone Wallpapers 4K HD 📲 

#Wallpapers |#iPhoneWallpaper I #4kwallpaper https://t.co/sj74A3gh2J",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,morning vibe 🌄 wallpaper k hd 📲 wallpaper iphonewallpaper kwallpaper,morning vibes 🌄 iphone wallpapers k hd 📲 wallpapers iphonewallpaper i kwallpaper,"{'CARDINAL': ['4'], 'MONEY': ['4kwallpaper']}",114,10,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.0,0.0,neutral,0,0.9358322620391846
1.904306023323812e+18,@Texas_jeep__guy IPhone sucks donkey d,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,suck donkey,iphone sucks donkey d,{},38,2,2025-03-28,0.385,0.615,0.0,-0.3612,negative,-0.3,0.3,negative,0,0.9358317255973816
1.9043059677745528e+18,"Dreamer &amp; The Awakening 

Iphone Wallpapers 4K HD 📲 

#Wallpapers | #iPhoneWallpaper I #4kwallpaper 👇 https://t.co/rXjtlfHnm6",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,dreamer awakening wallpaper k hd 📲 wallpaper iphonewallpaper kwallpaper 👇,dreamer amp the awakening iphone wallpapers k hd 📲 wallpapers iphonewallpaper i kwallpaper 👇,"{'ORG': ['Dreamer &amp', 'The Awakening \n\nIphone Wallpapers 4'], 'MONEY': ['4kwallpaper']}",129,10,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.0,0.0,neutral,0,0.8238295316696167
1.904305925026169e+18,Is the iPhone auto correct drunk? It use to be decent but has been so off the past couple weeks,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,auto correct drunk use decent past couple week,is the iphone auto correct drunk it use to be decent but has been so off the past couple weeks,{'DATE': ['the past couple weeks']},95,8,2025-03-28,0.082,0.918,0.0,-0.1779,negative,-0.1944444444444444,0.6388888888888888,negative,1,0.6340448260307312
1.9043058534839053e+18,"GOVERNMENT ISSUES STATEMENT: 🦠 Dead marine life and surfer health concerns prompt official response, as Government confirms a harmful toxic algae off southern coastline. &gt;&gt; https://t.co/iaLloAehwh

🌟 Read daily news on our free iPhone app: https://t.co/WJZDuenEUw

🌟 Read daily https://t.co/LMMOG8dJsE",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,Apple iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,government issue statement 🦠 dead marine life surfer health concern prompt official response government confirms harmful toxic algae southern coastline gtgt 🌟 read daily news free app 🌟 read daily,government issues statement 🦠 dead marine life and surfer health concerns prompt official response as government confirms a harmful toxic algae off southern coastline gtgt 🌟 read daily news on our free iphone app 🌟 read daily,{'DATE': ['daily']},307,30,2025-03-28,0.09,0.84,0.069,-0.25,negative,0.04,0.24,neutral,0,0.812171459197998
1.904305437861679e+18,"@Texas_jeep__guy I can jailbreak mine and get a whole new operating system that doesn't have bloatwear on it, like apps you can not uninstall on you iPhone. Plus, apple slows down your phones, so you upgrade and spend more money.",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,Apple iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,jailbreak mine get whole new operating system doesnt bloatwear like apps uninstall plus slows phone upgrade spend money,i can jailbreak mine and get a whole new operating system that doesnt have bloatwear on it like apps you can not uninstall on you iphone plus apple slows down your phones so you upgrade and spend more money,{},229,18,2025-03-28,0.0,0.94,0.06,0.3612,positive,0.1702020202020202,0.4108585858585858,positive,0,0.9259209036827087
1.904305362842346e+18,Hey @Apple your iPhone sales are down big time because of no more physical sim tray on your US iPhone models. It turns out millions of people travel abroad and use the local sim cards. Big win for Samsung.,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,Apple iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,hey sale big time physical sim tray u model turn million people travel abroad use local sim card big win,hey your iphone sales are down big time because of no more physical sim tray on your us iphone models it turns out millions of people travel abroad and use the local sim cards big win for samsung,"{'GPE': ['US'], 'CARDINAL': ['millions'], 'ORG': ['Samsung']}",205,20,2025-03-28,0.051,0.86,0.088,0.3818,positive,0.0563492063492063,0.2188208616780045,neutral,0,0.8553264141082764
1.9043053386414945e+18,Apple iPhone 17 Pro MAX Ultra - Launch Date + Price in the USA and other... https://t.co/a9emPX3JuI via @YouTube,2025-03-28 04:36:59.594846+00:00,en,1,0,1,,Apple iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,pro max ultra launch date price usa,apple iphone pro max ultra launch date price in the usa and other via,"{'ORG': ['Apple'], 'CARDINAL': ['17'], 'GPE': ['USA']}",112,7,2025-03-28,0.0,1.0,0.0,0.0,neutral,-0.125,0.375,negative,0,0.540306806564331
1.90430528299534e+18,"Ellen Joe’s movements are next-level smooth, like a shark swimming through battle! 🦈💥 Testing her in ZZZ—she’s a beast!
https://t.co/G6QJcs5T91
#zenlesszonezero #ZenlessZoneZeroFanart #EllenJoe #HoYoverse #Apple #iphone #gaming #MobileGaming #shark #sharkstyle #sharkbae",2025-03-28 04:36:59.594846+00:00,en,0,0,1,,Apple iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,ellen joe’s movement nextlevel smooth like shark swimming battle 🦈💥 testing zzz—she’s beast zenlesszonezero zenlesszonezerofanart ellenjoe hoyoverse gaming mobilegaming shark sharkstyle sharkbae,ellen joe’s movements are nextlevel smooth like a shark swimming through battle 🦈💥 testing her in zzz—she’s a beast zenlesszonezero zenlesszonezerofanart ellenjoe hoyoverse apple iphone gaming mobilegaming shark sharkstyle sharkbae,"{'PERSON': ['Ellen Joe’s', 'HoYoverse'], 'ORG': ['ZZZ'], 'MONEY': ['#MobileGaming #'], 'CARDINAL': ['#', '#']}",270,22,2025-03-28,0.153,0.78,0.067,-0.4912,negative,0.625,0.5,positive,0,0.9210586547851562
1.904304082090685e+18,"Does it?
https://t.co/Zhbd9z8c23
↓ https://t.co/ImTRVhAiVe",2025-03-28 04:36:59.594846+00:00,en,0,0,1,,Apple iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,↓,does it ↓,{},58,1,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.0,0.0,neutral,0,0.8306217789649963
1.904301473514574e+18,"Hi @Apple - What gives with the latest IOS (18) update and iphone 13 cameras?  You're telling me that I have added a non-factory part, which is not true. #Help",2025-03-28 04:36:59.594846+00:00,en,0,1,0,,Apple iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,hi give latest io update camera youre telling added nonfactory part true help,hi what gives with the latest ios update and iphone cameras youre telling me that i have added a nonfactory part which is not true help,"{'CARDINAL': ['18', '13']}",159,13,2025-03-28,0.141,0.859,0.0,-0.5559,negative,0.1625,0.775,positive,0,0.9322769641876221
1.9043006969685e+18,@abok_fasa @TimKalyegira Can you tell me how many times an iphone has been breached without apple being involved !,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,Apple iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,tell many time breached without involved,can you tell me how many times an iphone has been breached without apple being involved,{'ORG': ['@TimKalyegira']},114,6,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.625,0.5,positive,0,0.8114770650863647
1.90430059156591e+18,"If you expect me to buy the next $2000 iPhone, the purchase should come with a tokenized portion of Apple stock, like one percent of the purchase price, which is better than nothing. 

$2000 → 1% = $20 ✓ (tokenized stock)

@Apple",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,Apple iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,expect buy next purchase come tokenized portion stock like one percent purchase price better nothing → ✓ tokenized stock,if you expect me to buy the next iphone the purchase should come with a tokenized portion of apple stock like one percent of the purchase price which is better than nothing → ✓ tokenized stock,"{'ORG': ['Apple'], 'MONEY': ['2000', '20'], 'PERCENT': ['1%']}",229,19,2025-03-28,0.0,0.881,0.119,0.6597,positive,0.25,0.25,positive,1,0.9673856496810913
1.90431576295884e+18,I need a new phone dis iPhone 6s pmo,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,need new dis pmo,i need a new phone dis iphone s pmo,{'CARDINAL': ['6s']},36,4,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.1363636363636363,0.4545454545454545,positive,1,0.7727387547492981
1.9043157596666263e+18,"2023:05:27 14:12:06
iPhone 11 Pro back triple camera 4.25mm f/1.8
Focal Length:26mm (35mm eq.)
Aperture: f/1.8
Exposure: 1/990s
Ev: 11.6
ISO equiv: 32
#Green https://t.co/PgrivB2EC4",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,pro back triple camera mm f focal lengthmm mm eq aperture f exposure ev iso equiv green,iphone pro back triple camera mm f focal lengthmm mm eq aperture f exposure s ev iso equiv green,"{'CARDINAL': ['2023:05:27', '11', '35', '11.6', '32'], 'QUANTITY': ['4.25mm'], 'PERSON': ['Ev'], 'ORG': ['ISO']}",181,17,2025-03-28,0.0,1.0,0.0,0.0,neutral,-0.1,0.15,neutral,0,0.8727785348892212
1.904315731401196e+18,"@DarkMinds001 It's heart-wrenching to hear about your pain. Tears signify deep emotional turmoil, not weakness. Expressing feelings is a step toward healing. #ThriveAI is here to support you. #HealingJourney

🚀 Join Thrive AI today and reclaim your mind!
📲 Download for FREE:
   • iPhone:",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,heartwrenching hear pain tear signify deep emotional turmoil weakness expressing feeling step toward healing thriveai support healingjourney 🚀 join thrive ai today reclaim mind 📲 download free •,its heartwrenching to hear about your pain tears signify deep emotional turmoil not weakness expressing feelings is a step toward healing thriveai is here to support you healingjourney 🚀 join thrive ai today and reclaim your mind 📲 download for free • iphone,"{'PERSON': ['ThriveAI', 'HealingJourney', 'Download'], 'DATE': ['today']}",288,28,2025-03-28,0.129,0.652,0.22,0.6659,positive,0.1333333333333333,0.6166666666666667,positive,0,0.7467201352119446
1.9043157311744084e+18,"Wait until they turn the mob

Onto everybody with an iPhone 
or MacBook 
or Gucci bag 

Etc. 

—-

The less intelligent 
They can be Weaponized 

Always have been 
Always will be https://t.co/nYnhlZKOiu",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,wait turn mob onto everybody macbook gucci bag etc — less intelligent weaponized always always,wait until they turn the mob onto everybody with an iphone or macbook or gucci bag etc — the less intelligent they can be weaponized always have been always will be,"{'ORG': ['MacBook', 'Weaponized \n\nAlways'], 'PERSON': ['Gucci']}",202,15,2025-03-28,0.0,0.92,0.08,0.4033,positive,0.3166666666666667,0.4833333333333333,positive,1,0.9673856496810913
1.904315643622486e+18,"#MOONwin🔥

Pump YOUR way to MILLIONS!🌐

🎁Welcome: https://t.co/4htXNd4ONf

1UK5qg36 @ua3b1cZA1iKrUFu @BujangT59231130 @Jay31192 @BitVenturer2 @mariavictorix @zishee786 @Capital671 @emotionartist @xmastoys09 @TM_IPhone",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,moonwin🔥 pump way millions🌐 🎁welcome ukqg,moonwin🔥 pump your way to millions🌐 🎁welcome ukqg,"{'ORG': ['MILLIONS', '@zishee786'], 'PERSON': ['@xmastoys09 @TM_IPhone']}",217,6,2025-03-28,0.105,0.895,0.0,-0.4003,negative,0.0,0.0,neutral,1,0.8005341291427612
1.904315601730024e+18,"2023:05:27 14:17:37
iPhone 11 Pro back triple camera 4.25mm f/1.8
Focal Length:51mm (35mm eq.)
Aperture: f/1.8
Exposure: 1/2183s
Ev: 12.8
ISO equiv: 32
#Yellow https://t.co/SZQjiX8Khd",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,pro back triple camera mm f focal lengthmm mm eq aperture f exposure ev iso equiv yellow,iphone pro back triple camera mm f focal lengthmm mm eq aperture f exposure s ev iso equiv yellow,"{'CARDINAL': ['2023:05:27', '11', '35', '12.8'], 'QUANTITY': ['4.25mm'], 'ORG': ['Focal Length:51mm'], 'MONEY': ['32\n#']}",183,17,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.0,0.0,neutral,1,0.9152864217758179
1.904315569588888e+18,@yoshiyooa its just me and my old iphone 11 😩,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,old 😩,its just me and my old iphone 😩,"{'GPE': ['@yoshiyooa'], 'CARDINAL': ['11']}",45,2,2025-03-28,0.174,0.826,0.0,-0.2732,negative,0.1,0.2,neutral,0,0.9314509034156799
1.9043155417680325e+18,"Tim Walz's iPhone today.  
Let’s see what happens tomorrow.  $RKLB 😂 https://t.co/kowEvvOD9S",2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,tim walzs today let’s see happens tomorrow rklb 😂,tim walzs iphone today let’s see what happens tomorrow rklb 😂,"{'PERSON': [""Tim Walz's"", 'https://t.co/kowEvvOD9S'], 'DATE': ['today', 'tomorrow']}",92,9,2025-03-28,0.096,0.711,0.193,0.4404,positive,0.0,0.0,neutral,1,0.8736382126808167
1.9043154931311908e+18,i wish i could take things from iphone and android and make a super phone. the super nigga phone.,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,wish could take thing android make super super nigga,i wish i could take things from iphone and android and make a super phone the super nigga phone,{},97,9,2025-03-28,0.0,0.604,0.396,0.8885,positive,0.3333333333333333,0.6666666666666666,positive,1,0.9513872861862183
1.9043154585280924e+18,This video is not a iphone commercial #meme https://t.co/irC2O7zOgM,2025-03-28 04:36:59.594846+00:00,en,0,0,0,,iPhone lang:en -is:retweet,iphone,2025-03-28,4,Friday,video commercial meme,this video is not a iphone commercial meme,{'CARDINAL': ['#']},67,3,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.0,0.0,neutral,0,0.9413111805915833
1.742935889e+19,Just got the new iPhone 15 Pro Max and the camera is absolutely amazing! #iPhone,2025-03-25 12:51:29.249419+00:00,en,9,27,121,Twitter for iPhone,Apple iPhone,iphone,2025-03-25,12,Tuesday,got new pro max camera absolutely amazing,just got the new iphone pro max and the camera is absolutely amazing iphone,"{'CARDINAL': ['15'], 'MONEY': ['iPhone']}",80,7,2025-03-28,0.0,0.761,0.239,0.6581,positive,0.4431818181818182,0.6772727272727272,positive,1,0.9429738521575928
1.742935889e+19,Apple's iOS updates are so smooth. Love how my iPhone just works.,2025-03-25 15:51:29.249419+00:00,en,13,30,97,Twitter for iPhone,#iPhone,iphone,2025-03-25,15,Tuesday,apple io update smooth love work,apples ios updates are so smooth love how my iphone just works,{'ORG': ['Apple']},65,6,2025-03-28,0.0,0.711,0.289,0.6682,positive,0.45,0.55,positive,1,0.9342755675315857
1.742935889e+19,Face ID on my new iPhone works perfectly even in low light. Great feature!,2025-03-22 18:51:29.249419+00:00,en,35,28,79,Twitter for Android,Apple iPhone,iphone,2025-03-22,18,Saturday,face id new work perfectly even low light great feature,face id on my new iphone works perfectly even in low light great feature,{},74,10,2025-03-28,0.097,0.507,0.396,0.8172,positive,0.5072727272727272,0.6409090909090909,positive,0,0.9242601990699768
1.742935889e+19,The iPhone camera is incredible for night photography. Best phone camera I've used.,2025-03-25 00:51:29.249419+00:00,en,44,16,52,Twitter for iPhone,#iPhone,iphone,2025-03-25,0,Tuesday,camera incredible night photography best camera ive used,the iphone camera is incredible for night photography best phone camera ive used,{'TIME': ['night']},83,8,2025-03-28,0.0,0.741,0.259,0.6369,positive,0.95,0.6,positive,1,0.9429170489311218
1.742935889e+19,Apple's build quality on the iPhone is second to none. This thing feels premium.,2025-03-25 05:51:29.249419+00:00,en,6,8,122,Twitter for iPhone,#iPhone,iphone,2025-03-25,5,Tuesday,apple build quality second none thing feel premium,apples build quality on the iphone is second to none this thing feels premium,"{'ORG': ['Apple', 'iPhone'], 'ORDINAL': ['second']}",80,8,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.0,0.0,neutral,1,0.9423502683639526
1.742935889e+19,iPhone performance is still great after a year of heavy use. Apple silicon is impressive.,2025-03-23 22:51:29.249419+00:00,en,33,0,105,Twitter for Android,iPhone,iphone,2025-03-23,22,Sunday,performance still great year heavy use silicon impressive,iphone performance is still great after a year of heavy use apple silicon is impressive,"{'DATE': ['a year'], 'ORG': ['Apple']}",89,8,2025-03-28,0.0,0.637,0.363,0.8126,positive,0.5333333333333333,0.75,positive,0,0.9451338052749634
1.742935889e+19,The iPhone ecosystem integration with my MacBook and iPad is seamless. Love it!,2025-03-23 05:51:29.249419+00:00,en,32,9,99,Twitter for Android,iPhone,iphone,2025-03-23,5,Sunday,ecosystem integration macbook ipad seamless love,the iphone ecosystem integration with my macbook and ipad is seamless love it,"{'ORG': ['MacBook', 'iPad']}",79,6,2025-03-28,0.0,0.728,0.272,0.6696,positive,0.3625,0.35,positive,1,0.9006785154342651
